sep=,
"Time","flink_jobmanager_numRegisteredTaskManagers{app=""flink"", component=""jobmanager"", controller_uid=""f87f0dfe-38c8-4348-b143-8c906dc3ebce"", host=""flink_jobmanager"", instance=""10.120.0.5:9249"", job=""kubernetes-pods-scrape-every-2s"", job_name=""flink-jobmanager"", kubernetes_namespace=""default"", kubernetes_pod_name=""flink-jobmanager-q6jfd""}"
2022-02-21 17:34:15,8
2022-02-21 17:34:30,8
2022-02-21 17:34:45,8
2022-02-21 17:35:00,8
2022-02-21 17:35:15,8
2022-02-21 17:35:30,8
2022-02-21 17:35:45,8
2022-02-21 17:36:00,8
2022-02-21 17:36:15,8
2022-02-21 17:36:30,8
2022-02-21 17:36:45,8
2022-02-21 17:37:00,8
2022-02-21 17:37:15,8
2022-02-21 17:37:30,8
2022-02-21 17:37:45,8
2022-02-21 17:38:00,8
2022-02-21 17:38:15,8
2022-02-21 17:38:30,8
2022-02-21 17:38:45,8
2022-02-21 17:39:00,8
2022-02-21 17:39:15,8
2022-02-21 17:39:30,8
2022-02-21 17:39:45,8
2022-02-21 17:40:00,8
2022-02-21 17:40:15,8
2022-02-21 17:40:30,8
2022-02-21 17:40:45,8
2022-02-21 17:41:00,8
2022-02-21 17:41:15,8
2022-02-21 17:41:30,8
2022-02-21 17:41:45,8
2022-02-21 17:42:00,8
2022-02-21 17:42:15,8
2022-02-21 17:42:30,8
2022-02-21 17:42:45,8
2022-02-21 17:43:00,7
2022-02-21 17:43:15,7
2022-02-21 17:43:30,7
2022-02-21 17:43:45,5
2022-02-21 17:44:00,5
2022-02-21 17:44:15,5
2022-02-21 17:44:30,5
2022-02-21 17:44:45,7
2022-02-21 17:45:00,7
2022-02-21 17:45:15,7
2022-02-21 17:45:30,7
2022-02-21 17:45:45,7
2022-02-21 17:46:00,7
2022-02-21 17:46:15,8
2022-02-21 17:46:30,8
2022-02-21 17:46:45,8
2022-02-21 17:47:00,8
2022-02-21 17:47:15,8
2022-02-21 17:47:30,8
